zip5,po_name,primary_ruca,secondary_ruca,ruca_category
33185,Miami,1,1,urban
33186,Miami,1,1,urban
33187,Miami,1,1,urban
33188,Miami,1,1,urban
33189,Miami,1,1,urban
33190,Miami,1,1,urban
33191,Miami,1,1,urban
33192,Miami,1,1,urban
33193,Miami,1,1,urban
33194,Miami,1,1,urban
33195,Miami,1,1,urban
33196,Miami,1,1,urban
33197,Miami,1,1,urban
33198,Miami,1,1,urban
33199,Miami,1,1,urban
33206,Miami,1,1,urban
33222,Miami,1,1,urban
33231,Miami,1,1,urban
33233,Miami,1,1,urban
33234,Miami,1,1,urban
33238,Miami,1,1,urban
33239,Miami Beach,1,1,urban
33242,Miami,1,1,urban
33243,Miami,1,1,urban
33245,Miami,1,1,urban
33247,Miami,1,1,urban
33255,Miami,1,1,urban
33256,Miami,1,1,urban
33257,Miami,1,1,urban
33261,Miami,1,1,urban
33265,Miami,1,1,urban
33266,Miami,1,1,urban
33269,Miami,1,1,urban
33280,Miami,1,1,urban
33283,Miami,1,1,urban
33296,Miami,1,1,urban
33299,Miami,1,1,urban
33301,Fort Lauderdale,1,1,urban
33302,Fort Lauderdale,1,1,urban
33303,Fort Lauderdale,1,1,urban
33304,Fort Lauderdale,1,1,urban
33305,Fort Lauderdale,1,1,urban
33306,Fort Lauderdale,1,1,urban
33307,Fort Lauderdale,1,1,urban
33308,Fort Lauderdale,1,1,urban
33309,Fort Lauderdale,1,1,urban
33310,Fort Lauderdale,1,1,urban
33311,Fort Lauderdale,1,1,urban
33312,Fort Lauderdale,1,1,urban
33313,Fort Lauderdale,1,1,urban
33314,Fort Lauderdale,1,1,urban
33315,Fort Lauderdale,1,1,urban
33316,Fort Lauderdale,1,1,urban
33317,Fort Lauderdale,1,1,urban
33318,Fort Lauderdale,1,1,urban
33319,Fort Lauderdale,1,1,urban
33320,Fort Lauderdale,1,1,urban
33321,Fort Lauderdale,1,1,urban
33322,Fort Lauderdale,1,1,urban
33323,Fort Lauderdale,1,1,urban
33324,Fort Lauderdale,1,1,urban
33325,Fort Lauderdale,1,1,urban
33326,Fort Lauderdale,1,1,urban
33327,Fort Lauderdale,1,1,urban
33328,Fort Lauderdale,1,1,urban
33329,Fort Lauderdale,1,1,urban
33330,Fort Lauderdale,1,1,urban
33331,Fort Lauderdale,1,1,urban
33332,Fort Lauderdale,1,1,urban
33334,Fort Lauderdale,1,1,urban
33335,Fort Lauderdale,1,1,urban
33336,Fort Lauderdale,1,1,urban
33337,Fort Lauderdale,1,1,urban
33338,Fort Lauderdale,1,1,urban
33339,Fort Lauderdale,1,1,urban
33340,Fort Lauderdale,1,1,urban
33345,Fort Lauderdale,1,1,urban
33346,Fort Lauderdale,1,1,urban
33348,Fort Lauderdale,1,1,urban
33349,Fort Lauderdale,1,1,urban
33351,Fort Lauderdale,1,1,urban
33355,Fort Lauderdale,1,1,urban
33359,Fort Lauderdale,1,1,urban
33388,Plantation,1,1,urban
33394,Fort Lauderdale,1,1,urban
33401,West Palm Beach,1,1,urban
33402,West Palm Beach,1,1,urban
33403,West Palm Beach,1,1,urban
33404,West Palm Beach,1,1,urban
33405,West Palm Beach,1,1,urban
33406,West Palm Beach,1,1,urban
33407,West Palm Beach,1,1,urban
33408,North Palm Beach,1,1,urban
33409,West Palm Beach,1,1,urban
33410,Palm Beach Gardens,1,1,urban
33411,West Palm Beach,1,1,urban
33412,West Palm Beach,1,1,urban
33413,West Palm Beach,1,1,urban
33414,Wellington,1,1,urban
33415,West Palm Beach,1,1,urban
33416,West Palm Beach,1,1,urban
33417,West Palm Beach,1,1,urban
33418,Palm Beach Gardens,1,1,urban
33419,West Palm Beach,1,1,urban
33420,West Palm Beach,1,1,urban
33421,Royal Palm Beach,1,1,urban
33422,West Palm Beach,1,1,urban
33424,Boynton Beach,1,1,urban
33425,Boynton Beach,1,1,urban
33426,Boynton Beach,1,1,urban
33427,Boca Raton,1,1,urban
33428,Boca Raton,1,1,urban
33429,Boca Raton,1,1,urban
33430,Belle Glade,2,2,urban
33431,Boca Raton,1,1,urban
33432,Boca Raton,1,1,urban
33433,Boca Raton,1,1,urban
33434,Boca Raton,1,1,urban
33435,Boynton Beach,1,1,urban
33436,Boynton Beach,1,1,urban
33437,Boynton Beach,1,1,urban
33438,Canal Point,2,2,urban
33440,Clewiston,4,4,suburban
33441,Deerfield Beach,1,1,urban
33442,Deerfield Beach,1,1,urban
33443,Deerfield Beach,1,1,urban
33444,Delray Beach,1,1,urban
33445,Delray Beach,1,1,urban
33446,Delray Beach,1,1,urban
33448,Delray Beach,1,1,urban
33449,Lake Worth,1,1,urban
33454,Greenacres,1,1,urban
33455,Hobe Sound,1,1,urban
33458,Jupiter,1,1,urban
33459,Lake Harbor,2,2,urban
33460,Lake Worth Beach,1,1,urban
33461,Lake Worth,1,1,urban
33462,Lake Worth,1,1,urban
33463,Lake Worth,1,1,urban
33464,Boca Raton,1,1,urban
33465,Lake Worth,1,1,urban
33466,Lake Worth,1,1,urban
33467,Lake Worth,1,1,urban
33468,Jupiter,1,1,urban
33469,Jupiter,1,1,urban
33470,Loxahatchee,1,1,urban
33471,Moore Haven,6,6,suburban
33472,Boynton Beach,1,1,urban
33473,Boynton Beach,1,1,urban
33474,Boynton Beach,1,1,urban
33475,Hobe Sound,1,1,urban
33476,Pahokee,2,2,urban
33477,Jupiter,1,1,urban
33478,Jupiter,1,1,urban
33480,Palm Beach,1,1,urban
33481,Boca Raton,1,1,urban
33482,Delray Beach,1,1,urban
33483,Delray Beach,1,1,urban
33484,Delray Beach,1,1,urban
33486,Boca Raton,1,1,urban
33487,Boca Raton,1,1,urban
33488,Boca Raton,1,1,urban
33493,South Bay,2,2,urban
33496,Boca Raton,1,1,urban
33497,Boca Raton,1,1,urban
33498,Boca Raton,1,1,urban
33499,Boca Raton,1,1,urban
33503,Balm,2,2,urban
33508,Brandon,1,1,urban
33509,Brandon,1,1,urban
33510,Brandon,1,1,urban
33511,Brandon,1,1,urban
33513,Bushnell,10,10,ultra_rural
33514,Center Hill,3,3,urban
33521,Coleman,4,4,suburban
33523,Dade City,2,2,urban
33524,Crystal Springs,2,2,urban
33525,Dade City,4,4.1,suburban
33526,Dade City,4,4.1,suburban
33527,Dover,1,1,urban
33530,Durant,1,1,urban
33534,Gibsonton,1,1,urban
33537,Lacoochee,2,2,urban
33538,Lake Panasoffkee,3,3,urban
33539,Zephyrhills,2,2,urban
33540,Zephyrhills,2,2,urban
33541,Zephyrhills,2,2,urban
33542,Zephyrhills,2,2,urban
33543,Wesley Chapel,1,1,urban
33544,Wesley Chapel,1,1,urban
33545,Wesley Chapel,1,1,urban
33547,Lithia,1,1,urban
33548,Lutz,1,1,urban
33549,Lutz,1,1,urban
33550,Mango,1,1,urban
33556,Odessa,1,1,urban
33558,Lutz,1,1,urban
33559,Lutz,1,1,urban
33563,Plant City,1,1,urban
33564,Plant City,1,1,urban
33565,Plant City,2,2,urban
33566,Plant City,1,1,urban
33567,Plant City,1,1,urban
33568,Riverview,1,1,urban
33569,Riverview,1,1,urban
33570,Ruskin,1,1,urban
33571,Sun City Center,1,1,urban
33572,Apollo Beach,1,1,urban
33573,Sun City Center,1,1,urban
33574,Saint Leo,4,4.1,suburban
33575,Ruskin,1,1,urban
33576,San Antonio,2,2,urban
33578,Riverview,1,1,urban
33579,Riverview,1,1,urban
33583,Seffner,1,1,urban
33584,Seffner,1,1,urban
33585,Sumterville,3,3,urban
33586,Sun City,1,1,urban
33587,Sydney,1,1,urban
33592,Thonotosassa,1,1,urban
33593,Trilby,2,2,urban
33594,Valrico,1,1,urban
33595,Valrico,1,1,urban
33596,Valrico,1,1,urban
33597,Webster,3,3,urban
33598,Wimauma,1,1,urban
33601,Tampa,1,1,urban
33602,Tampa,1,1,urban
33603,Tampa,1,1,urban
33604,Tampa,1,1,urban
33605,Tampa,1,1,urban
33606,Tampa,1,1,urban
33607,Tampa,1,1,urban
33608,Tampa,1,1,urban
33609,Tampa,1,1,urban
33610,Tampa,1,1,urban
33611,Tampa,1,1,urban
33612,Tampa,1,1,urban
33613,Tampa,1,1,urban
33614,Tampa,1,1,urban
33615,Tampa,1,1,urban
33616,Tampa,1,1,urban
33617,Tampa,1,1,urban
33618,Tampa,1,1,urban
33619,Tampa,1,1,urban
33620,Tampa,1,1,urban
33621,Tampa,1,1,urban
33622,Tampa,1,1,urban
33623,Tampa,1,1,urban
33624,Tampa,1,1,urban
33625,Tampa,1,1,urban
33626,Tampa,1,1,urban
33629,Tampa,1,1,urban
33630,Tampa,1,1,urban
33631,Tampa,1,1,urban
33633,Tampa,1,1,urban
33634,Tampa,1,1,urban
33635,Tampa,1,1,urban
33637,Tampa,1,1,urban
33646,Tampa,1,1,urban
33647,Tampa,1,1,urban
33650,Tampa,1,1,urban
33655,Tampa,1,1,urban
33660,Tampa,1,1,urban
33664,Tampa,1,1,urban
33672,Tampa,1,1,urban
33673,Tampa,1,1,urban
33674,Tampa,1,1,urban
33675,Tampa,1,1,urban
33677,Tampa,1,1,urban
33679,Tampa,1,1,urban
33680,Tampa,1,1,urban
33681,Tampa,1,1,urban
33682,Tampa,1,1,urban
33684,Tampa,1,1,urban
33685,Tampa,1,1,urban
33686,Tampa,1,1,urban
33687,Tampa,1,1,urban
33688,Tampa,1,1,urban
33689,Tampa,1,1,urban
33694,Tampa,1,1,urban
33701,Saint Petersburg,1,1,urban
33702,Saint Petersburg,1,1,urban
33703,Saint Petersburg,1,1,urban
33704,Saint Petersburg,1,1,urban
33705,Saint Petersburg,1,1,urban
33706,Saint Petersburg,1,1,urban
33707,Saint Petersburg,1,1,urban
33708,Saint Petersburg,1,1,urban
33709,Saint Petersburg,1,1,urban
33710,Saint Petersburg,1,1,urban
33711,Saint Petersburg,1,1,urban
33712,Saint Petersburg,1,1,urban
33713,Saint Petersburg,1,1,urban
33714,Saint Petersburg,1,1,urban
33715,Saint Petersburg,1,1,urban
33716,Saint Petersburg,1,1,urban
33729,Saint Petersburg,1,1,urban
33730,Saint Petersburg,1,1,urban
33731,Saint Petersburg,1,1,urban
33732,Saint Petersburg,1,1,urban
33733,Saint Petersburg,1,1,urban
33734,Saint Petersburg,1,1,urban
33736,Saint Petersburg,1,1,urban
33738,Saint Petersburg,1,1,urban
33740,Saint Petersburg,1,1,urban
33741,Saint Petersburg,1,1,urban
33742,Saint Petersburg,1,1,urban
33743,Saint Petersburg,1,1,urban
33744,Bay Pines,1,1,urban
33747,Saint Petersburg,1,1,urban
33755,Clearwater,1,1,urban
33756,Clearwater,1,1,urban
33757,Clearwater,1,1,urban
33758,Clearwater,1,1,urban
33759,Clearwater,1,1,urban
33760,Clearwater,1,1,urban
33761,Clearwater,1,1,urban
33762,Clearwater,1,1,urban
33763,Clearwater,1,1,urban
33764,Clearwater,1,1,urban
33765,Clearwater,1,1,urban
33766,Clearwater,1,1,urban
33767,Clearwater Beach,1,1,urban
33769,Clearwater,1,1,urban
33770,Largo,1,1,urban
33771,Largo,1,1,urban
33772,Seminole,1,1,urban
33773,Largo,1,1,urban
33774,Largo,1,1,urban
33775,Seminole,1,1,urban
33776,Seminole,1,1,urban
33777,Seminole,1,1,urban
33778,Largo,1,1,urban
33779,Largo,1,1,urban
33780,Pinellas Park,1,1,urban
33781,Pinellas Park,1,1,urban
33782,Pinellas Park,1,1,urban
33784,Saint Petersburg,1,1,urban
33785,Indian Rocks Beach,1,1,urban
33786,Belleair Beach,1,1,urban
33801,Lakeland,1,1,urban
33802,Lakeland,1,1,urban
33803,Lakeland,1,1,urban
33804,Lakeland,1,1,urban
33805,Lakeland,1,1,urban
33806,Lakeland,1,1,urban
33807,Lakeland,1,1,urban
33809,Lakeland,1,1,urban
33810,Lakeland,1,1,urban
33811,Lakeland,1,1,urban
33812,Lakeland,1,1,urban
33813,Lakeland,1,1,urban
33815,Lakeland,1,1,urban
33820,Alturas,2,2,urban
33823,Auburndale,1,1,urban
33825,Avon Park,1,1,urban
33826,Avon Park,1,1,urban
33827,Babson Park,2,2,urban
33830,Bartow,2,2,urban
33831,Bartow,2,2,urban
33834,Bowling Green,9,9,rural
33835,Bradley,10,10,ultra_rural
33836,Davenport,2,2,urban
33837,Davenport,1,1,urban
33838,Dundee,1,1,urban
33839,Eagle Lake,1,1,urban
33840,Eaton Park,1,1,urban
33841,Fort Meade,3,3,urban
33843,Frostproof,7,7,rural
33844,Haines City,1,1,urban
33845,Haines City,1,1,urban
33846,Highland City,1,1,urban
33847,Homeland,3,3,urban
33848,Intercession City,2,2,urban
33849,Kathleen,1,1,urban
33850,Lake Alfred,1,1,urban
33851,Lake Hamilton,1,1,urban
33852,Lake Placid,4,4,suburban
33853,Lake Wales,1,1,urban
33854,Lakeshore,2,2,urban
33855,Indian Lake Estates,2,2,urban
33856,Nalcrest,2,2,urban
33857,Lorida,2,2,urban
33858,Loughman,2,2,urban
33859,Lake Wales,2,2,urban
33860,Mulberry,1,1,urban
33862,Lake Placid,4,4,suburban
33863,Nichols,2,2,urban
33865,Ona,9,9,rural
33867,River Ranch,2,2,urban
33868,Polk City,1,1,urban
33870,Sebring,1,1,urban
33871,Sebring,1,1,urban
33872,Sebring,1,1,urban
33873,Wauchula,7,7,rural
33875,Sebring,1,1,urban
33876,Sebring,2,2,urban
33877,Waverly,1,1,urban
33880,Winter Haven,1,1,urban
33881,Winter Haven,1,1,urban
33882,Winter Haven,1,1,urban
33883,Winter Haven,1,1,urban
33884,Winter Haven,1,1,urban
33885,Winter Haven,1,1,urban
33888,Winter Haven,1,1,urban
33890,Zolfo Springs,9,9,rural
33896,Davenport,2,2,urban
33897,Davenport,2,2,urban
33898,Lake Wales,2,2,urban
33901,Fort Myers,1,1,urban
33902,Fort Myers,1,1,urban
33903,North Fort Myers,1,1,urban
33904,Cape Coral,1,1,urban
33905,Fort Myers,1,1,urban
33906,Fort Myers,1,1,urban
33907,Fort Myers,1,1,urban
33908,Fort Myers,1,1,urban
33909,Cape Coral,1,1,urban
33910,Cape Coral,1,1,urban
33911,Fort Myers,1,1,urban
33912,Fort Myers,1,1,urban
33913,Fort Myers,1,1,urban
33914,Cape Coral,1,1,urban
33915,Cape Coral,1,1,urban
33916,Fort Myers,1,1,urban
33917,North Fort Myers,1,1,urban
33918,North Fort Myers,1,1,urban
33919,Fort Myers,1,1,urban
33920,Alva,2,2,urban
33921,Boca Grande,1,1,urban
33922,Bokeelia,2,2,urban
33924,Captiva,1,1,urban
33927,El Jobean,1,1,urban
33928,Estero,1,1,urban
33929,Estero,1,1,urban
33930,Felda,5,5,suburban
33931,Fort Myers Beach,1,1,urban
33932,Fort Myers Beach,1,1,urban
33935,Labelle,4,4,suburban
33936,Lehigh Acres,1,1,urban
33938,Murdock,1,1,urban
33944,Palmdale,2,2,urban
33945,Pineland,2,2,urban
33946,Placida,1,1,urban
33947,Rotonda West,1,1,urban
33948,Port Charlotte,1,1,urban
33949,Port Charlotte,1,1,urban
33950,Punta Gorda,1,1,urban
33951,Punta Gorda,1,1,urban
33952,Port Charlotte,1,1,urban
33953,Port Charlotte,1,1,urban
33954,Port Charlotte,1,1,urban
33955,Punta Gorda,1,1,urban
33956,Saint James City,7,7,rural
33957,Sanibel,1,1,urban
33960,Venus,3,3,urban
33965,Fort Myers,1,1,urban
33966,Fort Myers,1,1,urban
33967,Fort Myers,1,1,urban
33970,Lehigh Acres,1,1,urban
33971,Lehigh Acres,1,1,urban
33972,Lehigh Acres,1,1,urban
33973,Lehigh Acres,1,1,urban
33974,Lehigh Acres,1,1,urban
33975,Labelle,4,4,suburban
33976,Lehigh Acres,1,1,urban
33980,Punta Gorda,1,1,urban
33981,Port Charlotte,1,1,urban
33982,Punta Gorda,1,1,urban
33983,Punta Gorda,1,1,urban
33990,Cape Coral,1,1,urban
33991,Cape Coral,1,1,urban
33993,Cape Coral,1,1,urban
33994,Fort Myers,1,1,urban
34101,Naples,1,1,urban
34102,Naples,1,1,urban
34103,Naples,1,1,urban
34104,Naples,1,1,urban
34105,Naples,1,1,urban
34106,Naples,1,1,urban
34107,Naples,1,1,urban
34108,Naples,1,1,urban
34109,Naples,1,1,urban
34110,Naples,1,1,urban
34112,Naples,1,1,urban
34113,Naples,1,1,urban
34114,Naples,1,1,urban
34116,Naples,1,1,urban
34117,Naples,2,2,urban
34119,Naples,1,1,urban
34120,Naples,2,2,urban
34133,Bonita Springs,1,1,urban
34134,Bonita Springs,1,1,urban
34135,Bonita Springs,1,1,urban
34136,Bonita Springs,1,1,urban
34137,Copeland,2,2,urban
34138,Chokoloskee,10,10,ultra_rural
34139,Everglades City,10,10,ultra_rural
34140,Goodland,1,1,urban
34141,Ochopee,10,10,ultra_rural
34142,Immokalee,2,2,urban
34143,Immokalee,2,2,urban
34145,Marco Island,1,1,urban
34146,Marco Island,1,1,urban
34201,Bradenton,1,1,urban
34202,Bradenton,1,1,urban
34203,Bradenton,1,1,urban
34204,Bradenton,1,1,urban
34205,Bradenton,1,1,urban
34206,Bradenton,1,1,urban
34207,Bradenton,1,1,urban
34208,Bradenton,1,1,urban
34209,Bradenton,1,1,urban
34210,Bradenton,1,1,urban
34211,Bradenton,1,1,urban
34212,Bradenton,1,1,urban
34215,Cortez,1,1,urban
34216,Anna Maria,1,1,urban
34217,Bradenton Beach,1,1,urban
34218,Holmes Beach,1,1,urban
34219,Parrish,1,1,urban
34220,Palmetto,1,1,urban
34221,Palmetto,1,1,urban
34222,Ellenton,1,1,urban
34223,Englewood,1,1,urban
34224,Englewood,1,1,urban
34228,Longboat Key,1,1,urban
34229,Osprey,1,1,urban
34230,Sarasota,1,1,urban
34231,Sarasota,1,1,urban
34232,Sarasota,1,1,urban
34233,Sarasota,1,1,urban
34234,Sarasota,1,1,urban
34235,Sarasota,1,1,urban
34236,Sarasota,1,1,urban
34237,Sarasota,1,1,urban
34238,Sarasota,1,1,urban
34239,Sarasota,1,1,urban
34240,Sarasota,1,1,urban
34241,Sarasota,1,1,urban
34242,Sarasota,1,1,urban
34243,Sarasota,1,1,urban
34249,Sarasota,1,1,urban
34250,Terra Ceia,1,1,urban
34251,Myakka City,2,2,urban
34260,Sarasota,1,1,urban
34264,Oneco,1,1,urban
34265,Arcadia,4,4,suburban
34266,Arcadia,4,4,suburban
34267,Fort Ogden,4,4,suburban
34268,Nocatee,4,4,suburban
34269,Arcadia,2,2,urban
34270,Tallevast,1,1,urban
34272,Laurel,1,1,urban
34274,Nokomis,1,1,urban
34275,Nokomis,1,1,urban
34276,Sarasota,1,1,urban
34277,Sarasota,1,1,urban
34280,Bradenton,1,1,urban
34281,Bradenton,1,1,urban
34282,Bradenton,1,1,urban
34284,Venice,1,1,urban
34285,Venice,1,1,urban
34286,North Port,1,1,urban
34287,North Port,1,1,urban
34288,North Port,1,1,urban
34289,North Port,1,1,urban
34290,North Port,1,1,urban
34291,North Port,1,1,urban
34292,Venice,1,1,urban
34293,Venice,1,1,urban
34295,Englewood,1,1,urban
34420,Belleview,1,1,urban
34421,Belleview,1,1,urban
34423,Crystal River,2,2,urban
34428,Crystal River,2,2,urban
34429,Crystal River,1,1,urban
34430,Dunnellon,1,1,urban
34431,Dunnellon,3,3,urban
34432,Dunnellon,2,2,urban
34433,Dunnellon,2,2,urban
34434,Dunnellon,1,1,urban
34436,Floral City,2,2,urban
34441,Hernando,1,1,urban
34442,Hernando,1,1,urban
34445,Holder,1,1,urban
34446,Homosassa,2,2,urban
34447,Homosassa Springs,10,10,ultra_rural
34448,Homosassa,1,1,urban
34449,Inglis,8,8,rural
34450,Inverness,1,1,urban
34451,Inverness,1,1,urban
34452,Inverness,1,1,urban
34453,Inverness,1,1,urban
34460,Lecanto,1,1,urban
34461,Lecanto,1,1,urban
34464,Beverly Hills,1,1,urban
34465,Beverly Hills,1,1,urban
34470,Ocala,1,1,urban
34471,Ocala,1,1,urban
34472,Ocala,1,1,urban
34473,Ocala,2,2,urban
34474,Ocala,1,1,urban
34475,Ocala,1,1,urban
34476,Ocala,1,1,urban
34477,Ocala,1,1,urban
34478,Ocala,1,1,urban
34479,Ocala,1,1,urban
34480,Ocala,1,1,urban
34481,Ocala,1,1,urban
34482,Ocala,2,2,urban
34483,Ocala,1,1,urban
34484,Oxford,1,1,urban
34487,Homosassa,10,10,ultra_rural
34488,Silver Springs,2,2,urban
34489,Silver Springs,1,1,urban
34491,Summerfield,1,1,urban
34492,Summerfield,2,2,urban
34498,Yankeetown,8,8,rural
34601,Brooksville,4,4,suburban
34602,Brooksville,10,10,ultra_rural
34603,Brooksville,4,4,suburban
34604,Brooksville,1,1.1,urban
34605,Brooksville,4,4,suburban
34606,Spring Hill,1,1.1,urban
34607,Spring Hill,1,1.1,urban
34608,Spring Hill,1,1.1,urban
34609,Spring Hill,1,1.1,urban
34610,Spring Hill,1,1.1,urban
34611,Spring Hill,1,1.1,urban
34613,Brooksville,1,1.1,urban
34614,Brooksville,2,2,urban
34636,Istachatta,3,3,urban
34637,Land O Lakes,1,1,urban
34638,Land O Lakes,1,1,urban
34639,Land O Lakes,1,1,urban
34652,New Port Richey,1,1,urban
34653,New Port Richey,1,1,urban
34654,New Port Richey,1,1,urban
34655,New Port Richey,1,1,urban
34656,New Port Richey,1,1,urban
34660,Ozona,1,1,urban
34661,Nobleton,3,3,urban
34667,Hudson,1,1,urban
34668,Port Richey,1,1,urban
34669,Hudson,1,1.1,urban
34673,Port Richey,1,1,urban
34674,Hudson,1,1,urban
34677,Oldsmar,1,1,urban
34679,Aripeka,1,1,urban
34680,Elfers,1,1,urban
34681,Crystal Beach,1,1,urban
34682,Palm Harbor,1,1,urban
34683,Palm Harbor,1,1,urban
34684,Palm Harbor,1,1,urban
34685,Palm Harbor,1,1,urban
34688,Tarpon Springs,1,1,urban
34689,Tarpon Springs,1,1,urban
34690,Holiday,1,1,urban
34691,Holiday,1,1,urban
34692,Holiday,1,1,urban
34695,Safety Harbor,1,1,urban
34697,Dunedin,1,1,urban
34698,Dunedin,1,1,urban
34705,Astatula,2,2,urban
34711,Clermont,1,1,urban
34712,Clermont,1,1,urban
34713,Clermont,2,2,urban
34714,Clermont,2,2,urban
34715,Clermont,1,1,urban
34729,Ferndale,2,2,urban
34731,Fruitland Park,1,1,urban
34734,Gotha,1,1,urban
34736,Groveland,1,1,urban
34737,Howey in the Hills,1,1,urban
34739,Kenansville,2,2,urban
34740,Killarney,1,1,urban
34741,Kissimmee,2,2,urban
34742,Kissimmee,2,2,urban
34743,Kissimmee,2,2,urban
34744,Kissimmee,2,2,urban
34745,Kissimmee,2,2,urban
34746,Kissimmee,2,2,urban
34747,Kissimmee,1,1,urban
34748,Leesburg,1,1,urban
34749,Leesburg,1,1,urban
34753,Mascotte,1,1,urban
34755,Minneola,1,1,urban
34756,Montverde,2,2,urban
34758,Kissimmee,2,2,urban
34759,Kissimmee,2,2,urban
34760,Oakland,1,1,urban
34761,Ocoee,1,1,urban
34762,The Villages,1,1,urban
34769,Saint Cloud,2,2,urban
34770,Saint Cloud,2,2,urban
34771,Saint Cloud,2,2,urban
34772,Saint Cloud,2,2,urban
34773,Saint Cloud,2,2,urban
34777,Winter Garden,1,1,urban
34778,Winter Garden,1,1,urban
34785,Wildwood,4,4,suburban
34786,Windermere,1,1,urban
34787,Winter Garden,1,1,urban
34788,Leesburg,1,1,urban
34789,Leesburg,1,1,urban
34797,Yalaha,1,1,urban
34945,Fort Pierce,2,2,urban
34946,Fort Pierce,1,1,urban
34947,Fort Pierce,1,1,urban
34948,Fort Pierce,1,1,urban
34949,Fort Pierce,1,1,urban
34950,Fort Pierce,1,1,urban
34951,Fort Pierce,1,1,urban
34952,Port Saint Lucie,1,1,urban
34953,Port Saint Lucie,1,1,urban
34954,Fort Pierce,1,1,urban
34956,Indiantown,2,2,urban
34957,Jensen Beach,1,1,urban
34958,Jensen Beach,1,1,urban
34972,Okeechobee,4,4,suburban
34973,Okeechobee,4,4,suburban
34974,Okeechobee,4,4,suburban
34979,Fort Pierce,1,1,urban
34981,Fort Pierce,1,1,urban
34982,Fort Pierce,1,1,urban
34983,Port Saint Lucie,1,1,urban
34984,Port Saint Lucie,1,1,urban
34985,Port Saint Lucie,1,1,urban
34986,Port Saint Lucie,1,1,urban
34987,Port Saint Lucie,1,1,urban
34988,Port Saint Lucie,2,2,urban
34990,Palm City,1,1,urban
34991,Palm City,1,1,urban
34992,Port Salerno,1,1,urban
34994,Stuart,1,1,urban
34995,Stuart,1,1,urban
34996,Stuart,1,1,urban
34997,Stuart,1,1,urban
